ID,Groups,Description,Baseline [02-26 18:04],[02-26 18:14],[02-26 18:22],[02-26 18:27],[02-26 18:38],[02-26 18:46],[02-26 18:53],[02-26 19:00],[02-26 19:00],[02-26 19:09],[02-26 19:16],[02-26 21:18],[02-26 21:31],[02-26 22:05],[02-26 22:09],[02-27 04:01],[02-27 04:03],[02-27 05:28],[02-27 05:34],[02-27 05:40],[02-27 05:52],[02-27 06:06],[02-27 06:11],[02-27 06:13],[02-27 06:23],[02-27 06:33],[02-27 07:03],[02-27 07:12],[02-27 07:33],[02-27 07:35],[02-27 07:43],[02-27 07:51],[02-27 08:00],[02-27 08:10],[02-27 10:35],[02-27 10:43],[02-27 11:01],[02-27 11:05],[02-27 11:13],[02-27 11:21],[02-27 11:28],[02-27 11:29],[02-27 11:35],[02-27 11:38],[02-27 12:12],[02-27 13:43],[02-27 13:55],[06-05 11:09],[06-07 13:36]
G-DOV-9,DOV: Dart Overview Interpreter Failures > Generic Type Bound Checking,User class implementing Comparable satisfies bound. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-10,DOV: Dart Overview Interpreter Failures > Extensions on Nullable Types,Extension method on nullable List type (on List<T>?). [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV-12,DOV: Dart Overview Interpreter Failures > Await-for Loop Variable Declaration,await for with var declaration in stream loop. [2026-02-10 12:00] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV2-6,Dart Overview Failures Round 2,super.name forwarding through mixin chain [2026-02-10 21:30] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV2-5,Dart Overview Failures Round 2,CastPatternImpl not implemented [2026-02-10 21:30] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV2-2,Dart Overview Failures Round 2,Factory constructor tear-off (Class.fromMap) [2026-02-10 21:30] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV2-3,Dart Overview Failures Round 2,Factory constructor on abstract class [2026-02-10 21:30] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV2-4,Dart Overview Failures Round 2,Function-level type parameter bound (Comparable) [2026-02-10 21:30] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV2-1,Dart Overview Failures Round 2,Cast to nullable type (as String?) [2026-02-10 21:30] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
ENG-007-03,ENG-007: Nullable Type Extraction,Nullable style parameter uses proper extraction. [2026-03-07] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X
